"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 22 18:44:43 GMT 2024","Thu Feb 22 18:44:43 GMT 2024","25","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Feb 22 18:44:44 GMT 2024","Thu Feb 22 18:44:45 GMT 2024","1062","test","test_hootel","TestHootel","","","test_hotel_list",""
